('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1636902 function calls (1616083 primitive calls) in 3.011 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      503    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
       21    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
       14    0.000    0.000    0.006    0.000 hashlib.py:126(__get_openssl_constructor)
      503    0.006    0.000    0.006    0.000 {built-in method posix.stat}
        2    0.000    0.000    0.006    0.003 hashlib.py:82(__get_builtin_constructor)
       79    0.001    0.000    0.006    0.000 css_parser.py:472(parse_attribute_selector)
     2822    0.004    0.000    0.006    0.000 __init__.py:91(_replace_charref)
    25484    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
    27874    0.006    0.000    0.006    0.000 formatter.py:187(<genexpr>)
       99    0.003    0.000    0.006    0.000 _compiler.py:470(_get_charset_prefix)
     3280    0.006    0.000    0.006    0.000 {method 'findall' of 're.Pattern' objects}
      341    0.001    0.000    0.006    0.000 css_parser.py:1108(selector_iter)
     3950    0.003    0.000    0.006    0.000 _htmlparser.py:222(handle_data)
    10948    0.004    0.000    0.005    0.000 _parser.py:163(__len__)
    12278    0.005    0.000    0.005    0.000 {method 'count' of 'str' objects}
    22947    0.005    0.000    0.005    0.000 {method 'end' of 're.Match' objects}
     9793    0.004    0.000    0.005    0.000 _parser.py:255(match)
     2419    0.005    0.000    0.005    0.000 __init__.py:909(_linkage_fixer)
      496    0.003    0.000    0.005    0.000 css_types.py:41(__init__)
    18602    0.005    0.000    0.005    0.000 _parser.py:239(__next)
    14868    0.005    0.000    0.005    0.000 {method 'items' of 'dict' objects}
       16    0.002    0.000    0.005    0.000 enum.py:1751(convert_class)
  142/137    0.000    0.000    0.005    0.000 css_parser.py:395(freeze)
        1    0.000    0.000    0.005    0.005 css_types.py:1(<module>)
    16290    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
     6477    0.003    0.000    0.004    0.000 _parser.py:175(append)
        1    0.000    0.000    0.004    0.004 base64.py:1(<module>)
       10    0.001    0.000    0.004    0.000 enum.py:896(_convert_)
     5865    0.002    0.000    0.004    0.000 element.py:2355(get)
      114    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.004    0.004 decoder.py:1(<module>)
      166    0.000    0.000    0.004    0.000 _markupbase.py:165(parse_comment)
    12518    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
       21    0.003    0.000    0.003    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.003    0.003 _htmlparser.py:361(prepare_markup)
        1    0.000    0.000    0.003    0.003 dammit.py:775(__init__)
     8072    0.003    0.000    0.003    0.000 element.py:2826(_should_pretty_print)
        1    0.000    0.000    0.003    0.003 dammit.py:930(_convert_from)
    61/40    0.000    0.000    0.003    0.000 typing.py:574(__getitem__)
        1    0.003    0.003    0.003    0.003 dammit.py:969(_to_unicode)
      138    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.003    0.003 pretty.py:1(<module>)
      166    0.000    0.000    0.003    0.000 _htmlparser.py:269(handle_comment)
        1    0.000    0.000    0.003    0.003 __init__.py:71(search_function)
     2585    0.001    0.000    0.003    0.000 css_parser.py:317(match)
      109    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      334    0.000    0.000    0.003    0.000 element.py:1629(output_ready)
     4117    0.002    0.000    0.003    0.000 __init__.py:1068(handle_data)
      142    0.000    0.000    0.003    0.000 css_types.py:203(__init__)
       40    0.000    0.000    0.003    0.000 typing.py:753(Union)
     1322    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
       94    0.001    0.000    0.003    0.000 typing.py:1423(__init__)
       78    0.000    0.000    0.003    0.000 _htmlparser.py:127(handle_startendtag)
        9    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
    12542    0.003    0.000    0.003    0.000 filter.py:259(_base_match)
        9    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.002    0.002 quoprimime.py:1(<module>)
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
       86    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
     8527    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
    13067    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      980    0.001    0.000    0.002    0.000 _parser.py:311(_class_escape)
